id,shock.stage,temp.avg,temp.var,hs.temp,hs.num,date.died,date.hatch,date.ovp,time.ovp,num.ovp,date.3,mass.3,mass.in.hs,inst.in.hs,date.in.hs,time.in.hs,date.out.hs,time.out.hs,date.4,mass.4,date.5,mass.5,date.p5.1,mass.p5.1,instar.p5.1,date.p5.2,mass.p5.2,inst.p5.2,date.p5.3,mass.p5.3,inst.p5.3,date.p5.4,mass.p5.4,inst.p5.4,date.cull,mass.cull,date.wand,mass.wand,date.em,instar.em,bled.em,mass.48em,num.em,num.coc,num.fail.spin,date.ecl,num.ecl,fem.ecl,male.ecl,fem.mass,male.mass,num.unem.mat,num.unem.im,mat.load,tot.load,mass.unem,mass.fail.spin,pup,moth.ecl,pv.dna,gen.notes,diss.notes
15,mid,25,10,42,3,,10/18/18,10/22/18,12:39,1,10/22/18,44.74,210.55,3,10/26/18,10:20,10/28/18,20:45,10/27/18,157.68,11/2/18,336.96,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/9/18,5,0,2137.75,54,45,9,11/15/18,37,16,21,3.49,3.64,52,24,106,130,,,,,,wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th. removed cuticle from 4th proleg after molt into 5th.,"24 immature 2nds, not counted, stored separately. at least 16 1sts"
16,late,25,10,42,3,10/24/18,10/18/18,10/22/18,12:51,1,10/22/18,37.81,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
17,control,25,10,0,0,,10/18/18,10/22/18,12:35,2,10/22/18,41.1,FALSE,,,,,,10/26/18,225.37,10/31/18,1299.26,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,3231.41,160,138,22,11/11/18,98,19,79,4.88,16.36,11,0,171,171,,,,,,wasp colony density low at ovp,
18,early,25,10,42,3,,10/18/18,10/22/18,12:22,1,10/22/18,46.12,46.12,3,10/22/18,12:30,10/24/18,16:25,10/27/18,286.86,11/1/18,1150.47,11/8/18,10901.34,5,11/15/18,13988.54,5,11/22/18,13671.77,cull,,,,11/22/18,13671.77,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. purple and dying on 11/24/18, marked last p5 measurement as cull",
19,mid,25,10,42,3,,10/17/18,10/22/18,12:38,1,10/22/18,52.13,255.76,3,10/26/18,10:20,10/28/18,20:45,10/26/18,235.53,11/2/18,798.05,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,1600.24,20,20,0,11/12/18,19,2,17,0.89,3.78,1,1,21,22,,,,,,wasp colony density low at ovp,"1 immature 2nd, saved in the same tube as the 1 mature 2nd. some large plaques, the 1 mature 2nd was covered in melanin"
20,late,25,10,42,3,,10/17/18,10/22/18,12:50,1,10/22/18,47.45,FALSE,,,,,,10/28/18,296.97,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/4/18,4,0,1552.74,49,22,27,11/10/18,17,4,13,1.06,2.31,33,17,82,99,,,,,,wasp colony density low at ovp,"17 immature 2nds, mostly small. some could have been 1sts. at least 3 1sts"
21,control,25,10,0,0,,10/17/18,10/22/18,12:20,1,10/22/18,56.32,FALSE,,,,,,10/26/18,209.41,11/1/18,1335.67,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,3028.13,63,59,4,11/12/18,51,11,40,3.49,10.06,16,1,79,80,,,,,,wasp colony density low at ovp,"1 small immature 2nd, not saved"
22,early,25,10,42,3,,10/17/18,10/22/18,12:21,1,10/22/18,43.37,43.37,3,10/22/18,12:30,10/24/18,16:25,10/28/18,139.7,11/1/18,602.01,11/8/18,4773.28,5,11/15/18,9586.41,5,11/22/18,14821.11,cull,,,,11/22/18,14821.11,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. purple and dying on 11/24/18, marked last p5 measurement as cull",
23,mid,25,10,42,3,,10/17/18,10/22/18,12:37,1,10/22/18,55.72,307.89,3,10/26/18,10:20,10/28/18,20:45,10/27/18,230.97,11/3/18,730.63,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,0,1589.03,57,52,5,11/14/18,43,10,33,3.01,7.24,47,20,104,124,,,,,,"wasp colony density low at ovp. removed cuticle from all prolegs at molt to 4th--proleg damaged, bled. removed cuticle from 3rd-5th prolegs at molt to 5th","47 mature 2nds, 20 immature 2nds, 15 1sts"
24,late,25,10,42,3,,10/17/18,10/22/18,12:48,1,10/22/18,57.46,1001.26,5,11/2/18,9:15,11/4/18,17:45,10/28/18,331.72,11/1/18,793.56,11/8/18,2433.63,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,1,1843.53,42,28,14,11/15/18,16,0,16,0,2.97,,,42,42,,,,,,wasp colony density low at ovp,
25,mid,25,10,42,3,,10/17/18,10/22/18,12:36,1,10/22/18,57.93,262.61,4,10/26/18,10:20,10/28/18,20:45,10/26/18,262.61,11/1/18,1101.02,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3179.6,62,59,3,11/12/18,46,26,20,10.82,5.92,10,,72,72,,,,,,wasp colony density low at ovp,"mostly mature 2nds, 1 large 1st not counted"
26,late,25,10,42,3,,10/17/18,10/22/18,12:55,1,10/22/18,60.43,3816.33,5,10/31/18,9:05,11/2/18,16:20,10/25/18,284.42,10/30/18,2203.97,,,,,,,,,,,,,#N/A,#N/A,11/5/18,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,1,,,wasp colony density low at ovp,
27,mid,25,10,42,3,11/6/18,10/17/18,10/22/18,12:40,1,10/22/18,52.94,267.06,3,10/26/18,10:20,10/28/18,20:45,10/28/18,220.65,11/3/18,751.11,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp. removed cuticle from thoracic legs and prolegs at molt to 4th. did not molt over thoracic legs at molt to 5th--removed,
28,late,25,10,42,3,,10/17/18,10/22/18,12:54,1,10/22/18,60.27,2082.12,5,11/1/18,8:10,11/3/18,16:45,10/26/18,281.15,10/31/18,1603.37,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,3412.98,14,10,4,11/14/18,5,0,5,0,1.45,59,19,73,92,,,,,,wasp colony density low at ovp,19 immature 2nds of various sizes. 1 1st
29,mid,25,10,42,3,,10/17/18,10/22/18,12:44,3,10/22/18,54.46,333.89,4,10/26/18,10:20,10/28/18,20:45,10/26/18,333.89,11/1/18,2428.83,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,6080.92,280,216,64,11/12/18,125,49,76,11.24,13.74,92,9,372,381,,,,,,wasp colony density low at ovp,"9 immature 2nds, some could have been 1sts"
30,late,25,10,42,3,10/28/18,10/17/18,10/22/18,12:53,2,10/22/18,46,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
31,early,25,10,42,3,10/24/18,10/17/18,10/22/18,12:20,1,10/22/18,43.57,43.57,3,10/22/18,12:30,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
32,mid,25,10,42,3,10/29/18,10/17/18,10/22/18,12:42,2,10/22/18,56.31,243.38,3,10/26/18,10:20,10/28/18,20:45,10/28/18,204.51,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. did not shed over thoracic legs at molt to 4th, could not remove",
33,late,25,10,42,3,,10/17/18,10/22/18,12:52,1,10/22/18,68.18,2403.21,5,10/31/18,9:05,11/2/18,16:20,10/25/18,237.39,10/30/18,1813.78,11/6/18,4581.04,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,4379.77,6,1,5,,0,0,0,0,0,91,51,97,148,,,,,,wasp colony density low at ovp,51 immature 2nds of various sizes. at least 8 1sts
34,control,25,10,0,0,,10/17/18,10/22/18,12:32,2,10/22/18,54.9,FALSE,,,,,,10/26/18,290.55,11/1/18,1480.17,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,4051.51,102,97,5,11/11/18,90,26,64,9.29,20.99,23,0,125,125,,,,,,wasp colony density low at ovp,
35,early,25,10,42,3,,10/17/18,10/22/18,12:19,2,10/22/18,57.58,57.58,3,10/22/18,12:30,10/24/18,16:25,10/28/18,492.15,11/1/18,1614.11,11/8/18,13719.26,5,11/15/18,15947.56,5,11/22/18,15892.67,5,,,,11/27/18,14741.79,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
36,mid,25,10,42,3,,10/17/18,10/22/18,12:41,1,10/22/18,40.9,295.47,3,10/26/18,10:20,10/28/18,20:45,10/27/18,270.82,11/2/18,1350.92,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,3073.84,39,39,0,11/12/18,35,5,30,2.8,10.14,7,0,46,46,,,,,,wasp colony density low at ovp,
37,late,25,10,42,3,,10/17/18,10/22/18,13:00,1,10/22/18,56.41,1447.24,5,11/2/18,9:15,11/4/18,17:45,10/26/18,266.92,11/1/18,1195.38,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,1,2204.84,42,13,29,11/15/18,4,0,4,0,0.95,,,42,42,,,,,,wasp colony density low at ovp,
38,control,25,10,0,0,,10/17/18,10/22/18,12:31,2,10/22/18,52.86,FALSE,,,,,,10/26/18,230.34,10/31/18,1558.2,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,3631.7,116,85,31,11/11/18,55,9,46,2.62,9.7,25,1,141,142,,,,,,wasp colony density low at ovp,"1 immature 2nd, not saved"
39,early,25,10,42,3,,10/17/18,10/22/18,12:18,1,10/22/18,48.06,48.06,3,10/22/18,12:30,10/24/18,16:25,10/28/18,350.44,11/1/18,1433.04,11/8/18,13014.09,5,11/15/18,15939.25,5,11/22/18,15952.68,5,,,,11/27/18,14056.54,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
40,mid,25,10,42,3,,10/17/18,10/22/18,12:47,2,10/22/18,59.14,364.78,3,10/26/18,10:20,10/28/18,20:45,10/28/18,494.18,11/2/18,1511.33,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3306.02,55,52,3,11/13/18,44,23,21,7.35,4.93,16,2,71,73,,,,,,wasp colony density low at ovp,"mostly mature 2nds, 2 immature 2nds not counted, saved in separate tube"
41,late,25,10,42,3,,10/17/18,10/22/18,12:59,1,10/22/18,43.56,2611.98,5,11/1/18,8:10,11/3/18,16:45,10/26/18,274.49,10/31/18,1884.34,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,3481.61,53,38,15,11/14/18,14,9,5,2.48,0.83,45,23,98,121,,,,,,"wasp colony density low at ovp. counted 16 fts at cocoon couting, but could only find 15 at dissection to save. replaced fts column so that mass per larvae is not affected",23 immature 2nds of various sizes. no 1sts
42,mid,25,10,42,3,,10/17/18,10/22/18,12:46,1,10/22/18,66.89,343.32,3,10/26/18,10:20,10/28/18,20:45,10/26/18,302.97,11/1/18,1768.11,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,3727.24,75,58,17,11/11/18,22,2,20,0.79,4.44,25,0,100,100,,,,,,wasp colony density low at ovp,could only find 15 fts wasp larvae
43,late,25,10,42,3,10/28/18,10/17/18,10/22/18,12:58,2,10/22/18,54.23,FALSE,,,,,,10/27/18,158.74,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp. removed cuticle from 5th prolegs at molt to 4th,
44,mid,25,10,42,3,10/28/18,10/17/18,10/22/18,12:45,1,10/22/18,56.63,212.14,3,10/26/18,10:20,,,10/27/18,179.83,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. did not shed over thoracic legs at molt to 4th, could not remove. died during heat shock",
45,late,25,10,42,3,,10/17/18,10/22/18,12:56,1,10/22/18,62.42,2885.84,5,11/2/18,9:15,11/4/18,17:45,10/27/18,265.61,11/1/18,1836.72,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,0,3753.82,16,9,7,11/15/18,4,1,3,0.24,0.61,92,2,108,110,,,,,,wasp colony density low at ovp,"almost all mature 2nds, 1 or 2 smaller, included in unem tube. 1 large first for small 2nd, not counted"
46,mid,25,10,42,3,,10/17/18,10/22/18,12:44,1,10/22/18,61.78,291.88,3,10/26/18,10:20,10/28/18,20:45,10/27/18,289.52,11/2/18,1424.57,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,3215.76,118,112,6,11/13/18,85,40,45,11.7,9.31,9,1,127,128,,,,,,wasp colony density low at ovp. removed cuticle from all prolegs at molt to 4th,1 immture 2nd. 1 small 1st 
47,early,25,10,42,3,,10/18/18,10/23/18,9:18,2,10/23/18,71.18,71.18,3,10/23/18,9:30,10/25/18,16:07,10/28/18,472.13,11/2/18,2251.83,11/9/18,15359.82,5,11/16/18,19941.78,5,11/23/18,19033.75,cull,,,,11/23/18,19033.75,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. purple and dying on 11/24/18, marked last p5 measurement as cull",
48,mid,25,10,42,3,11/6/18,10/18/18,10/23/18,9:13,1,10/23/18,55.39,290.88,3,10/27/18,11:33,10/30/18,8:56,10/28/18,256.88,11/4/18,821.66,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. did not shed over thoracic legs at molt to 4th, could not remove. was left one night longer in the heat shock than supposed to be. removed cuticle from 3-5th prolegs at molt to 5th",
49,late,25,10,42,3,,10/18/18,10/23/18,9:23,2,10/23/18,66.37,2717.12,5,11/2/18,9:15,,,10/28/18,598.39,11/1/18,1986.04,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,0,3948.37,5,1,4,,0,0,0,0,0,86,14,91,105,,,,,,wasp colony density low at ovp,"14 immature 2nds of various sizes, all saved together in separate tube. 1 1st"
50,control,25,10,0,0,,10/18/18,10/23/18,9:27,1,10/23/18,71.13,FALSE,,,,,,10/28/18,246.38,11/1/18,1207.94,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3846.77,170,141,29,11/12/18,98,76,22,24.69,4.65,20,,190,190,,,,,,wasp colony density low at ovp,"found 1 small 1st instar. Otherwise, all mature 2nds. Found 4 oval structures that did not seem to be eggs. Unsure what they were. took pictures"
51,early,25,10,42,3,,10/18/18,10/23/18,9:16,1,10/23/18,38.93,38.93,3,10/23/18,9:30,10/25/18,16:07,10/27/18,173.83,11/3/18,273.87,11/10/18,1077.94,5,11/17/18,5846.49,5,11/24/18,7594.49,cull,,,,11/24/18,7594.49,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,"wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th. removed cuticle from 4th proleg after molt into 5th. date 6: 11/11/18. mass 6: 1017.07. purple and dying on 11/24/18, marked last p5 measurement as cull",
52,mid,25,10,42,3,10/29/18,10/18/18,10/23/18,9:12,1,10/23/18,52.35,302.23,3,10/27/18,11:33,,,10/28/18,255.21,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
53,late,25,10,42,3,,10/18/18,10/23/18,9:22,1,10/23/18,71.96,2186.11,5,11/2/18,9:15,11/4/18,17:45,10/28/18,546.96,11/1/18,1467,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,0,3178.9,29,19,10,11/16/18,2,1,1,0.2,0.24,51,6,80,86,,,,,,wasp colony density low at ovp,"Mostly mature 2nds. 6 immature 2nds, saved in separate tube. 2 1st instars"
54,control,25,10,0,0,,10/18/18,10/23/18,9:25,1,10/23/18,62.41,FALSE,,,,,,10/28/18,463.37,11/1/18,1535.03,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/5/18,5,0,3647.36,122,99,23,11/12/18,81,43,38,12.24,8.44,9,0,131,131,,,,,,wasp colony density low at ovp,"1 1st instar, no immature 2nds"
55,early,25,10,42,3,,10/17/18,10/23/18,9:14,1,10/23/18,59.12,59.12,3,10/23/18,9:30,10/25/18,16:07,10/28/18,419.92,11/2/18,1562.73,11/9/18,15145.24,5,11/16/18,18726.68,5,11/23/18,13135.64,dead,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
56,mid,25,10,42,3,,10/17/18,10/23/18,9:11,1,10/23/18,77.2,439.64,4,10/27/18,11:33,10/30/18,8:56,10/27/18,439.64,11/2/18,1745.32,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,3821.09,65,39,26,11/13/18,14,0,14,0,3.26,19,,84,84,,,,,,wasp colony density low at ovp.  was left one night longer in the heat shock than supposed to be. ,found a second that appeared to be stuck in it's cuticle. pic available
57,late,25,10,42,3,10/25/18,10/17/18,10/23/18,9:21,2,10/23/18,51.28,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,did not shed over 5th prolegs at molt to 3rd--removed. wasp colony density low at ovp,
58,control,25,10,0,0,10/25/18,10/17/18,10/23/18,9:24,2,10/23/18,41.71,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,did not shed over 5th prolegs at molt to 3rd--removed. wasp colony density low at ovp,
59,mid,25,10,42,3,10/29/18,10/17/18,10/23/18,9:10,1,10/23/18,63.05,196.50,3,10/27/18,11:33,,,10/28/18,166.77,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp. removed cuticle from 4-5th prolegs at molt to 4th,
60,late,25,10,42,3,10/28/18,10/17/18,10/23/18,9:20,1,10/23/18,66.19,FALSE,,,,,,,,,,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp,
61,mid,25,10,42,3,,10/17/18,10/23/18,9:09,1,10/23/18,62.2,1203.13,4,10/27/18,11:33,10/30/18,8:56,10/25/18,242.59,11/4/18,1259.83,,,,,,,,,,,,,#N/A,#N/A,11/10/18,10474.53,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,wasp colony density low at ovp.  was left one night longer in the heat shock than supposed to be. ,
62,control,25,10,0,0,,10/17/18,10/23/18,9:19,1,10/23/18,73.34,FALSE,,,,,,10/28/18,337.46,11/2/18,1782.04,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/7/18,5,0,4026.61,131,109,22,11/13/18,44,21,23,6.92,5.39,19,3,150,153,,,,,,"wasp colony density low at ovp. removed cuticle from last prolegs after molt into 5th. labeled as late in dish, but control in data sheet. Think it's actually a control, changed labels when dissected 11/29/18. maybe toss from data just in case","3 immature 2nds, fairly large. at least 3 1sts"
63,control,25,10,0,0,,10/17/18,10/24/18,10:07,1,10/24/18,55.84,FALSE,,,,,,10/28/18,291.66,11/2/18,1481.1,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/6/18,5,0,3313.23,78,72,6,11/12/18,65,12,53,3.39,11.82,19,,97,97,,,,,,,"mostly large 2nds, a few small seconds, no 1sts seen"
64,early,25,10,42,3,,10/19/18,10/24/18,9:42,1,10/24/18,50.58,50.58,3,10/24/18,10:30,10/26/18,16:26,10/29/18,259.43,11/3/18,1218.18,11/10/18,12052.62,5,11/17/18,14644.73,5,,,,,,,11/19/18,13778.82,#N/A,#N/A,#N/A,,,#N/A,0,,,,0,,,,,,,0,0,,,,,,,
65,mid,25,10,42,3,,10/19/18,10/24/18,9:50,2,10/24/18,50.12,214.62,4,10/28/18,12:05,10/30/18,16:14,10/28/18,214.62,11/3/18,1320.89,,,,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/8/18,5,0,3889.82,196,167,29,11/14/18,79,25,54,7.97,10.93,,,196,196,,,,,,,
66,late,25,10,42,3,,10/19/18,10/24/18,9:59,1,10/24/18,58.96,3091.58,5,11/4/18,11:15,11/6/18,16:53,10/28/18,404.35,11/3/18,2224.65,11/10/18,4266.91,5,,,,,,,,,,#N/A,#N/A,#N/A,#N/A,11/11/18,5,0,3985.38,5,0,5,,0,,,,,86,42,91,133,,,,,,,found more than 10 late first wasp larvae
